"Name","_name_or_path","dataset_name","eval/f1-macro"
"test-facebook/bart-base-coaid","facebook/bart-base","coaid","0.9699374401172294"
"test-allenai/scibert_scivocab_uncased-coaid","allenai/scibert_scivocab_uncased","coaid","0.9519236711990112"
"test-roberta-base-coaid","roberta-base","coaid","0.9504132231404958"
"test-microsoft/deberta-base-coaid","microsoft/deberta-base","coaid","0.9504132231404958"
"test-digitalepidemiologylab/covid-twitter-bert-v2-coaid","digitalepidemiologylab/covid-twitter-bert-v2","coaid","0.9504132231404958"
"test-deepset/covid_bert_base-coaid","deepset/covid_bert_base","coaid","0.9360165696372592"
"test-manueltonneau/clinicalcovid-bert-base-cased-coaid","manueltonneau/clinicalcovid-bert-base-cased","coaid","0.9280604648151743"
"test-bert-base-uncased-coaid","bert-base-uncased","coaid","0.9249110105580692"
"test-emilyalsentzer/Bio_ClinicalBERT-fn19","emilyalsentzer/Bio_ClinicalBERT","fn19","0.9054703518412204"
"test-manueltonneau/biocovid-bert-large-cased-coaid","manueltonneau/biocovid-bert-large-cased","coaid","0.9041867020394628"
"test-facebook/bart-base-rec","facebook/bart-base","rec","0.8917378917378918"
"test-emilyalsentzer/Bio_ClinicalBERT-coaid","emilyalsentzer/Bio_ClinicalBERT","coaid","0.8866534067727458"
"test-vinai/bertweet-base-coaid","vinai/bertweet-base","coaid","0.8574931655813913"
"test-deepset/covid_bert_base-rec","deepset/covid_bert_base","rec","0.8471119904669828"
"test-vinai/bertweet-base-rec","vinai/bertweet-base","rec","0.829755036413506"
"test-facebook/bart-base-fn19","facebook/bart-base","fn19","0.8283677098514921"
"test-manueltonneau/clinicalcovid-bert-base-cased-rec","manueltonneau/clinicalcovid-bert-base-cased","rec","0.8276654411764706"
"test-emilyalsentzer/Bio_ClinicalBERT-rec","emilyalsentzer/Bio_ClinicalBERT","rec","0.827417853168926"
"test-manueltonneau/biocovid-bert-large-cased-rec","manueltonneau/biocovid-bert-large-cased","rec","0.8077496274217586"
"test-roberta-base-rec","roberta-base","rec","0.8077496274217586"
"test-digitalepidemiologylab/covid-twitter-bert-v2-rec","digitalepidemiologylab/covid-twitter-bert-v2","rec","0.8077496274217586"
"test-bert-base-uncased-rec","bert-base-uncased","rec","0.764924131387585"
"test-manueltonneau/clinicalcovid-bert-base-cased-fn19","manueltonneau/clinicalcovid-bert-base-cased","fn19","0.7648357695129522"
"test-allenai/scibert_scivocab_uncased-rec","allenai/scibert_scivocab_uncased","rec","0.7645061474848709"
"test-allenai/scibert_scivocab_uncased-fn19","allenai/scibert_scivocab_uncased","fn19","0.7578808688168692"
"test-bert-base-uncased-par","bert-base-uncased","par","0.7567890469835485"
"test-vinai/bertweet-base-par","vinai/bertweet-base","par","0.7564833718634443"
"test-microsoft/deberta-base-rec","microsoft/deberta-base","rec","0.7557658682800921"
"test-facebook/bart-base-par","facebook/bart-base","par","0.7556116292466776"
"test-manueltonneau/clinicalcovid-bert-base-cased-par","manueltonneau/clinicalcovid-bert-base-cased","par","0.7491209545103583"
"test-deepset/covid_bert_base-fn19","deepset/covid_bert_base","fn19","0.7461271824717562"
"test-roberta-base-fn19","roberta-base","fn19","0.7454081194747231"
"test-deepset/covid_bert_base-par","deepset/covid_bert_base","par","0.729756172556384"
"test-manueltonneau/biocovid-bert-large-cased-fn19","manueltonneau/biocovid-bert-large-cased","fn19","0.7217194570135747"
"test-microsoft/deberta-base-fn19","microsoft/deberta-base","fn19","0.6927271658288503"
"test-vinai/bertweet-base-fn19","vinai/bertweet-base","fn19","0.6545203369870459"
"test-bert-base-uncased-fn19","bert-base-uncased","fn19","0.6545203369870459"
"test-roberta-base-par","roberta-base","par","0.6425531914893617"
"test-microsoft/deberta-base-par","microsoft/deberta-base","par","0.6425531914893617"
"test-emilyalsentzer/Bio_ClinicalBERT-par","emilyalsentzer/Bio_ClinicalBERT","par","0.6425531914893617"
"test-digitalepidemiologylab/covid-twitter-bert-v2-par","digitalepidemiologylab/covid-twitter-bert-v2","par","0.6425531914893617"
"test-manueltonneau/biocovid-bert-large-cased-par","manueltonneau/biocovid-bert-large-cased","par","0.6425531914893617"
"test-allenai/scibert_scivocab_uncased-par","allenai/scibert_scivocab_uncased","par","0.6193372559751871"
"test-digitalepidemiologylab/covid-twitter-bert-v2-cmu","digitalepidemiologylab/covid-twitter-bert-v2","cmu","0.616435557609877"
"test-bert-base-uncased-cmu","bert-base-uncased","cmu","0.5712714206093389"
"test-roberta-base-cmu","roberta-base","cmu","0.5682821084107209"
"test-microsoft/deberta-base-cmu","microsoft/deberta-base","cmu","0.5656164661013069"
"test-vinai/bertweet-base-cmu","vinai/bertweet-base","cmu","0.5419580412705588"
"test-manueltonneau/clinicalcovid-bert-base-cased-cmu","manueltonneau/clinicalcovid-bert-base-cased","cmu","0.5299386664817646"
"test-facebook/bart-base-cmu","facebook/bart-base","cmu","0.517357053760271"
"test-emilyalsentzer/Bio_ClinicalBERT-cmu","emilyalsentzer/Bio_ClinicalBERT","cmu","0.49988963449063617"
"test-allenai/scibert_scivocab_uncased-cmu","allenai/scibert_scivocab_uncased","cmu","0.48229875127246374"
"test-deepset/covid_bert_base-cmu","deepset/covid_bert_base","cmu","0.4753911233325108"
"test-manueltonneau/biocovid-bert-large-cased-cmu","manueltonneau/biocovid-bert-large-cased","cmu","0.4491169049621531"
"test-digitalepidemiologylab/covid-twitter-bert-v2-fn19","digitalepidemiologylab/covid-twitter-bert-v2","fn19","0.39986554621848736"
